País de residencia;Tipo de dato;Año;Mes;Total
Países Nórdicos;Dato base;2022;11;363681
Portugal;Dato base;2022;11;125165
Reino Unido;Dato base;2022;11;826874
Resto América;Dato base;2022;11;263709
Resto de Europa;Dato base;2022;11;429285
Resto del Mundo;Dato base;2022;11;209776
Rusia;Dato base;2022;11;
Suiza;Dato base;2022;11;81883
Alemania;Dato base;2022;12;453940
Bélgica;Dato base;2022;12;133634
Estados Unidos de América;Dato base;2022;12;171374
Francia;Dato base;2022;12;662604
Irlanda;Dato base;2022;12;105208
Italia;Dato base;2022;12;257314
Países Bajos;Dato base;2022;12;166830
Países Nórdicos;Dato base;2022;12;308131
Portugal;Dato base;2022;12;196106
Reino Unido;Dato base;2022;12;764766
